timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732124433165,389,CPloginRequest,200,OK,ChangePond ESS 1-1,text,true,,3337,240,1,1,https://ess.changepond.com/,40,0,26
1732124433165,45,CPloginRequest-0,302,Found,ChangePond ESS 1-1,,true,,208,120,1,1,http://ess.changepond.com/#/login,40,0,26
1732124433217,337,CPloginRequest-1,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/,337,0,326
1732124433558,8,CPdashboardRequest,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/#/dashboard,8,0,0
1732124433566,17,CPreportsAttendenceRequest,200,OK,ChangePond ESS 1-1,text,true,,3337,240,1,1,https://ess.changepond.com/,7,0,0
1732124433566,7,CPreportsAttendenceRequest-0,302,Found,ChangePond ESS 1-1,,true,,208,120,1,1,http://ess.changepond.com/#/attendanceDetails,7,0,0
1732124433573,10,CPreportsAttendenceRequest-1,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/,10,0,0
1732124433585,9,CPLeaveRequest,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/#/leaveDetails,9,0,0
1732124433595,10,CPShortfallRequest,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/#/shortfallReport,10,0,0
1732124433605,19,CPoDRequest,200,OK,ChangePond ESS 1-1,text,true,,3337,240,1,1,https://ess.changepond.com/,9,0,0
1732124433605,9,CPoDRequest-0,302,Found,ChangePond ESS 1-1,,true,,208,120,1,1,http://ess.changepond.com/#/odrequestlist,9,0,0
1732124433614,10,CPoDRequest-1,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/,10,0,0
1732124433625,17,CPMispunchRequest,200,OK,ChangePond ESS 1-1,text,true,,3337,240,1,1,https://ess.changepond.com/,8,0,0
1732124433625,8,CPMispunchRequest-0,302,Found,ChangePond ESS 1-1,,true,,208,120,1,1,http://ess.changepond.com/#/AttendanceAuthRequest,8,0,0
1732124433633,9,CPMispunchRequest-1,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/,9,0,0
1732124433643,18,CPphoneRequest,200,OK,ChangePond ESS 1-1,text,true,,3337,240,1,1,https://ess.changepond.com/,8,0,0
1732124433643,8,CPphoneRequest-0,302,Found,ChangePond ESS 1-1,,true,,208,120,1,1,http://ess.changepond.com/#/phoneExtn,8,0,0
1732124433652,9,CPphoneRequest-1,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/,9,0,0
1732124433662,9,CPHolidaylistRequest,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/#/holidayList,9,0,0
1732124433671,9,CPEmployeeReferalRequest,200,OK,ChangePond ESS 1-1,text,true,,3129,120,1,1,https://ess.changepond.com/#/employeereferral,9,0,0
